"Time (UTCG)","Azimuth (deg)","Elevation (deg)","Range (km)"
15 Sep 2026 05:50:18.127,71.388,-26.189,2575.258359
15 Sep 2026 05:51:18.000,80.538,-26.431,2458.221855
15 Sep 2026 05:52:18.000,90.455,-26.553,2406.418121
15 Sep 2026 05:53:18.000,100.540,-26.485,2424.806994
15 Sep 2026 05:54:18.000,110.158,-26.256,2511.999175
15 Sep 2026 05:54:37.657,113.119,-26.162,2554.484645
15 Sep 2026 07:25:12.699,8.296,-26.231,2591.982495
15 Sep 2026 07:26:12.000,9.339,-27.419,2192.924689
15 Sep 2026 07:27:12.000,10.964,-29.961,1796.658578
15 Sep 2026 07:28:12.000,13.748,-34.879,1416.723867
15 Sep 2026 07:29:12.000,19.481,-44.251,1073.228339
15 Sep 2026 07:30:12.000,36.706,-60.997,816.169693
15 Sep 2026 07:31:12.000,112.962,-71.543,743.319472
15 Sep 2026 07:32:12.000,158.540,-53.335,901.061663
15 Sep 2026 07:33:12.000,168.968,-39.660,1201.520719
15 Sep 2026 07:34:12.000,173.166,-32.367,1563.818173
15 Sep 2026 07:35:12.000,175.407,-28.554,1952.883475
15 Sep 2026 07:36:12.000,176.799,-26.632,2354.355579
15 Sep 2026 07:36:39.150,177.269,-26.154,2538.169849
15 Sep 2026 09:03:52.081,318.789,-26.232,2592.499150
15 Sep 2026 09:04:52.000,311.264,-26.948,2312.540394
15 Sep 2026 09:05:52.000,301.594,-27.940,2082.338560
15 Sep 2026 09:06:52.000,289.602,-28.925,1921.505907
15 Sep 2026 09:07:52.000,275.799,-29.457,1848.946188
15 Sep 2026 09:08:52.000,261.596,-29.222,1875.208602
15 Sep 2026 09:09:52.000,248.650,-28.350,1996.254116
15 Sep 2026 09:10:52.000,237.909,-27.280,2195.975031
15 Sep 2026 09:11:52.000,229.452,-26.390,2454.481519
15 Sep 2026 09:12:12.804,226.991,-26.160,2554.521612
15 Sep 2026 16:56:44.078,308.026,-26.637,2622.930820
15 Sep 2026 16:57:44.000,300.042,-27.254,2378.208016
15 Sep 2026 16:58:44.000,290.194,-27.997,2188.266888
15 Sep 2026 16:59:44.000,278.611,-28.603,2069.695028
15 Sep 2026 17:00:44.000,265.995,-28.784,2035.644492
15 Sep 2026 17:01:44.000,253.523,-28.430,2090.502609
15 Sep 2026 17:02:44.000,242.299,-27.718,2227.600705
15 Sep 2026 17:03:44.000,232.878,-26.951,2432.657796
15 Sep 2026 17:04:30.068,226.888,-26.477,2626.047645
15 Sep 2026 18:31:40.798,357.493,-26.701,2614.190374
15 Sep 2026 18:32:40.000,357.577,-27.957,2215.359126
15 Sep 2026 18:33:40.000,357.692,-30.589,1818.210675
15 Sep 2026 18:34:40.000,357.873,-35.650,1436.317682
15 Sep 2026 18:35:40.000,358.230,-45.381,1088.204842
15 Sep 2026 18:36:40.000,359.380,-64.086,820.332582
15 Sep 2026 18:37:40.000,161.895,-85.987,728.881839
15 Sep 2026 18:38:40.000,175.530,-58.403,871.566438
15 Sep 2026 18:39:40.000,176.319,-42.274,1164.889895
15 Sep 2026 18:40:40.000,176.594,-33.944,1523.390235
15 Sep 2026 18:41:40.000,176.726,-29.598,1909.659543
15 Sep 2026 18:42:40.000,176.797,-27.358,2308.603796
15 Sep 2026 18:43:27.068,176.828,-26.474,2625.834749
15 Sep 2026 20:12:26.569,53.497,-26.671,2619.131421
15 Sep 2026 20:13:26.000,61.793,-27.143,2423.278902
15 Sep 2026 20:14:26.000,71.577,-27.618,2283.349725
15 Sep 2026 20:15:26.000,82.426,-27.901,2212.906224
15 Sep 2026 20:16:26.000,93.627,-27.854,2218.679700
15 Sep 2026 20:17:26.000,104.323,-27.492,2299.896842
15 Sep 2026 20:18:26.000,113.855,-26.973,2448.597697
15 Sep 2026 20:19:19.121,121.089,-26.537,2626.963136

