time_utc,azimuth_deg,elevation_deg,range_km,access_id,range_m,fspl_db,channel_gain_db,prop_delay_ms
2026-09-15 05:50:18.127000+00:00,71.388,-26.189,2575.258359,1,2575258.3589999997,186.685,-186.685,8.59
2026-09-15 05:51:18+00:00,80.538,-26.431,2458.221855,1,2458221.855,186.281,-186.281,8.2
2026-09-15 05:52:18+00:00,90.455,-26.553,2406.418121,1,2406418.1210000003,186.096,-186.096,8.027
2026-09-15 05:53:18+00:00,100.54,-26.485,2424.806994,1,2424806.994,186.162,-186.162,8.088
2026-09-15 05:54:18+00:00,110.158,-26.256,2511.999175,1,2511999.175,186.469,-186.469,8.379
2026-09-15 05:54:37.657000+00:00,113.119,-26.162,2554.484645,1,2554484.645,186.614,-186.614,8.521
2026-09-15 07:25:12.699000+00:00,8.296,-26.231,2591.982495,2,2591982.495,186.741,-186.741,8.646
2026-09-15 07:26:12+00:00,9.339,-27.419,2192.924689,2,2192924.689,185.289,-185.289,7.315
2026-09-15 07:27:12+00:00,10.964,-29.961,1796.658578,2,1796658.578,183.558,-183.558,5.993
2026-09-15 07:28:12+00:00,13.748,-34.879,1416.723867,2,1416723.8669999999,181.494,-181.494,4.726
2026-09-15 07:29:12+00:00,19.481,-44.251,1073.228339,2,1073228.339,179.082,-179.082,3.58
2026-09-15 07:30:12+00:00,36.706,-60.997,816.169693,2,816169.6930000001,176.704,-176.704,2.722
2026-09-15 07:31:12+00:00,112.962,-71.543,743.319472,2,743319.4720000001,175.892,-175.892,2.479
2026-09-15 07:32:12+00:00,158.54,-53.335,901.061663,2,901061.663,177.563,-177.563,3.006
2026-09-15 07:33:12+00:00,168.968,-39.66,1201.520719,2,1201520.719,180.063,-180.063,4.008
2026-09-15 07:34:12+00:00,173.166,-32.367,1563.818173,2,1563818.173,182.352,-182.352,5.216
2026-09-15 07:35:12+00:00,175.407,-28.554,1952.883475,2,1952883.475,184.282,-184.282,6.514
2026-09-15 07:36:12+00:00,176.799,-26.632,2354.355579,2,2354355.579,185.906,-185.906,7.853
2026-09-15 07:36:39.150000+00:00,177.269,-26.154,2538.169849,2,2538169.849,186.559,-186.559,8.466
2026-09-15 09:03:52.081000+00:00,318.789,-26.232,2592.49915,3,2592499.15,186.743,-186.743,8.648
2026-09-15 09:04:52+00:00,311.264,-26.948,2312.540394,3,2312540.3940000003,185.75,-185.75,7.714
2026-09-15 09:05:52+00:00,301.594,-27.94,2082.33856,3,2082338.56,184.839,-184.839,6.946
2026-09-15 09:06:52+00:00,289.602,-28.925,1921.505907,3,1921505.907,184.141,-184.141,6.409
2026-09-15 09:07:52+00:00,275.799,-29.457,1848.946188,3,1848946.1879999998,183.807,-183.807,6.167
2026-09-15 09:08:52+00:00,261.596,-29.222,1875.208602,3,1875208.602,183.929,-183.929,6.255
2026-09-15 09:09:52+00:00,248.65,-28.35,1996.254116,3,1996254.1160000002,184.473,-184.473,6.659
2026-09-15 09:10:52+00:00,237.909,-27.28,2195.975031,3,2195975.031,185.301,-185.301,7.325
2026-09-15 09:11:52+00:00,229.452,-26.39,2454.481519,3,2454481.519,186.268,-186.268,8.187
2026-09-15 09:12:12.804000+00:00,226.991,-26.16,2554.521612,3,2554521.612,186.615,-186.615,8.521
2026-09-15 16:56:44.078000+00:00,308.026,-26.637,2622.93082,4,2622930.82,186.844,-186.844,8.749
2026-09-15 16:57:44+00:00,300.042,-27.254,2378.208016,4,2378208.016,185.993,-185.993,7.933
2026-09-15 16:58:44+00:00,290.194,-27.997,2188.266888,4,2188266.8880000003,185.27,-185.27,7.299
2026-09-15 16:59:44+00:00,278.611,-28.603,2069.695028,4,2069695.0280000002,184.787,-184.787,6.904
2026-09-15 17:00:44+00:00,265.995,-28.784,2035.644492,4,2035644.4919999999,184.642,-184.642,6.79
2026-09-15 17:01:44+00:00,253.523,-28.43,2090.502609,4,2090502.6090000002,184.873,-184.873,6.973
2026-09-15 17:02:44+00:00,242.299,-27.718,2227.600705,4,2227600.7049999996,185.425,-185.425,7.43
2026-09-15 17:03:44+00:00,232.878,-26.951,2432.657796,4,2432657.796,186.19,-186.19,8.114
2026-09-15 17:04:30.068000+00:00,226.888,-26.477,2626.047645,4,2626047.645,186.854,-186.854,8.76
2026-09-15 18:31:40.798000+00:00,357.493,-26.701,2614.190374,5,2614190.374,186.815,-186.815,8.72
2026-09-15 18:32:40+00:00,357.577,-27.957,2215.359126,5,2215359.1259999997,185.377,-185.377,7.39
2026-09-15 18:33:40+00:00,357.692,-30.589,1818.210675,5,1818210.675,183.661,-183.661,6.065
2026-09-15 18:34:40+00:00,357.873,-35.65,1436.317682,5,1436317.682,181.613,-181.613,4.791
2026-09-15 18:35:40+00:00,358.23,-45.381,1088.204842,5,1088204.8420000002,179.203,-179.203,3.63
2026-09-15 18:36:40+00:00,359.38,-64.086,820.332582,5,820332.582,176.748,-176.748,2.736
2026-09-15 18:37:40+00:00,161.895,-85.987,728.881839,5,728881.839,175.722,-175.722,2.431
2026-09-15 18:38:40+00:00,175.53,-58.403,871.566438,5,871566.438,177.274,-177.274,2.907
2026-09-15 18:39:40+00:00,176.319,-42.274,1164.889895,5,1164889.895,179.794,-179.794,3.886
2026-09-15 18:40:40+00:00,176.594,-33.944,1523.390235,5,1523390.235,182.125,-182.125,5.081
2026-09-15 18:41:40+00:00,176.726,-29.598,1909.659543,5,1909659.543,184.088,-184.088,6.37
2026-09-15 18:42:40+00:00,176.797,-27.358,2308.603796,5,2308603.796,185.735,-185.735,7.701
2026-09-15 18:43:27.068000+00:00,176.828,-26.474,2625.834749,5,2625834.7490000003,186.854,-186.854,8.759
2026-09-15 20:12:26.569000+00:00,53.497,-26.671,2619.131421,6,2619131.421,186.832,-186.832,8.736
2026-09-15 20:13:26+00:00,61.793,-27.143,2423.278902,6,2423278.9020000002,186.156,-186.156,8.083
2026-09-15 20:14:26+00:00,71.577,-27.618,2283.349725,6,2283349.725,185.64,-185.64,7.616
2026-09-15 20:15:26+00:00,82.426,-27.901,2212.906224,6,2212906.224,185.368,-185.368,7.381
2026-09-15 20:16:26+00:00,93.627,-27.854,2218.6797,6,2218679.7,185.39,-185.39,7.401
2026-09-15 20:17:26+00:00,104.323,-27.492,2299.896842,6,2299896.842,185.703,-185.703,7.672
2026-09-15 20:18:26+00:00,113.855,-26.973,2448.597697,6,2448597.697,186.247,-186.247,8.168
2026-09-15 20:19:19.121000+00:00,121.089,-26.537,2626.963136,6,2626963.136,186.857,-186.857,8.763
